,name,description,url,screen_name
0,Barnacle,10k gals of water leak in an ave home per year. So we're turning the everyday user into a water hero.,http://t.co/su8S5yNEK6,Barnacle_Co
1,CloudGrid,Energy Sub-metering and Analytics,http://t.co/8VoEJdoj29,CloudGridOrg
2,Granular,"The world’s most efficient farms run on Granular. -- Granular offers new, advanced technology to save you time and make your farm more productive.",http://t.co/h0CAUQYsh0,GranularAg
3,Thurmia,Internet of Energy,,thurmia
4,Zuli,Create a smarter home that adjusts to where you are and what you like. http://t.co/A7L63m8QFI,http://t.co/xt3fJZbsuz,ZuliHome
5,Vti Systems,"Vti Systems is redefining the way manufacturing, retail and defence organizations use intelligence derived from situational awareness to optimize operations.",,vtisystems
6,SparkFund,"SparkFund provides streamlined financing for small & med. scale energy efficiency projects, helping our partners close more deals and get efficiency done.",http://t.co/isDb2W40t9,sparkfunder
7,Gridco Systems,"Leader in active grid infrastructure, enabling utilities to more effectively integrate renewable energy, increase efficiency and improve reliability. #agilegrid",http://t.co/nl7Zj2phni,gridcosystems
8,Sprav Water,The smart water meter for your shower. Monitors usage and provides real time feedback to promote water conservation.,http://t.co/6Y0npy6QPZ,Sprav_Water
9,Grove Labs,Technology to change where healthy food comes from. We're starting a food revolution one aquaponic system at a time!,http://t.co/CoGMMMnBMu,GroveLabs
11,Building Robotics,People-centered intelligence for buildings.,http://t.co/BNeqMPw3HQ,bldgrobotics
12,Urban.Us Network,We invest in startups that use technology to make cities better (http://t.co/wj4FiOj7y7). Advisory network at Urban.Us. Events at http://t.co/kUgFKlckv2.,http://t.co/qx9heNpOOx,UrbanUsCo
13,Callida Energy,Reinventing the way buildings work for you. Our learning software optimizes energy based on facility needs automatically to increase income and reduce carbon.,http://t.co/UAYIfh7754,CallidaEnergy
14,voltaiqio,A cloud-based informatics platform for better batteries.,http://t.co/KkUXcOPXzC,Voltaiqio
15,Driblet,Smart Water Management,http://t.co/k8pyrQyudw,Driblet_io
16,Climate Friendly UX,The web has a huge carbon footprint. Let's use good design to reduce CO2 and help avert climate disaster. Personal account: @jc_ux,http://t.co/goRX8xIe0S,lowco2ux
17,Webee®,Smart Spaces | Control your home and electrical devices anywhere from your mobile or tablet.,http://t.co/xqZp21Z6Lx,WebeeLife
18,Birdi,"More than a smoke detector. Our Smart Air Monitor tracks air quality, whether it's a health danger like indoor air pollution or an emergency like fire & CO.",http://t.co/NqJIoKSYBf,birdi
19,Robin,"We're out to make work delightful, one room at a time.",https://t.co/WLYUBVZCw0,robinpowered
21,Road Rules,Enabling drivers to create rules that automate their lives from their cars. Works with connected cars & non-connected cars.,http://t.co/kYRd0TDbGc,RoadRulesApp
22,Measurabl,"Measurabl is sustainability reporting, simplified.",http://t.co/MAa18LpMtx,measurabl
23,MakeSpace,"Your Closet In The Cloud.™ You pack. We pick up, store, and redeliver so you never have to visit a storage unit again.",http://t.co/ugCCIroW3F,MakeSpace
24,rachio,"Smart Irrigation, Enjoy Your Yard",http://t.co/DrmW0b445s,_rachio
25,FIGARO Project,FIGARO project aims to increase water productivity in major water-demanding crops and develop a cost-effective precision irrigation platform.,http://t.co/hk4agj0WKD,figaro_project
26,Weave,Making energy efficiency social and engaging.,http://t.co/G2FSpiVx3G,WeaveEnergy
27,GearCommons,"Are you a rental shop? We can help get your gear rentals on your website, for free. Send us a message for a demo of our retailer software.",http://t.co/VXt4zhYEQX,GearCommons
28,dropcountr,"Dropcountr mobile and web apps help water utilities and their customers save water, money and time.",http://t.co/bIPAj10Ehb,dropcountr
29,Bulbtrip Support,"LED Bulbs use 5-8x less energy than comparable traditional bulbs. We'll help you find the right light for you, without the trip, guaranteed.",http://t.co/jPSfD4fGLG,bulbtrip
30,EnergyScore,Walkscore for home energy efficiency,http://t.co/CyXT8cOAUF,TheEnergyScore
31,Open Utility,"We believe the future is abundant, clean and local energy.",http://t.co/cepTv1I9DR,OpenUtility
32,Dash,Smarter. Driving. Every Day.,http://t.co/aJHqOY1sVL,dashmobile
33,Keen Home,Developing hardware and software that enhances the core functions of a home--so your home can start taking care of you.,http://t.co/6iM8RRWtLV,KeenHome
34,Breather,Breather is a network of beautiful city spaces that you can unlock at any time.,http://t.co/Hw9wKburVm,breather
35,WireWatt,Empowering energy managers to unlock savings in the built environment.,http://t.co/2FaFa8Y7Vx,WireWatt
36,Optimum Energy,Data-driven optimization for HVAC systems. What can your buildings learn today?,http://t.co/MVzqpCHHlG,TrueOptimize
37,Civvic,Civvic powers #cleanweb energy projects by allowing you to calculate the value of energy incentives & policies via our web APIs,http://t.co/I8a7p268CA,BeCivvic
38,Panoramic Power ,Providing #energymanagement solutions. Improve energy and operational efficiencies with device level energy collection and analysis technology.,http://t.co/ftOQUh2dSA,PanPwr
39,Building Clouds,"Private, Public, Hybrid, Done – Windows Server & System Center",http://t.co/tdc53t6M,Building_Clouds
40,Infinio,"Designed as a tool for VMware administrators, Infinio is the most cost-effective way to add storage performance to your virtualized data center.",http://t.co/hofKWCN1ix,Infinio
41,Mapdwell,Helping communities work with the sun!,http://t.co/rM6o6uZrP0,mapdwell
42,Nnergix,Cloud-based energy forecasting & data mining service designed by renewable energy industry professionals using Artificial Intelligence solutions.,http://t.co/cNcv3820sA,Nnergix
43,Arieso Ltd,"Intelligent solutions that locate, store and analyse data from mobile calls enabling operators to boost network performance and enrich user experience.",http://t.co/wCGxGqee,AriesoLtd
44,ConnectSense,"WiFi-powered, cloud-connected sensors for home automation and business monitoring. Products by @GridConnect. #IoT #hightechhomes",http://t.co/MzqcbspCCH,ConnectSense
45,Shipster,The fastest way to send anything anywhere,http://t.co/g6dXNZ4xvb,Shipster
46,Clean Power Research,"Software & data services that help consumers, utilities and service providers make smart energy decisions.",http://t.co/AutKVWcrTS,CleanPowerRes
47,Boatbound,Looking to rent a boat? Boatbound is the fastest growing pier-to-pier boat rental platform. Own a boat? List it on Boatbound.co.,http://t.co/rmJxq52Oxg,boatbound
48,enlogik,"Carlos Prio (CEO) reducing consumption through energy intelligence! Follow my methodical madness in Chile, Colombia, Costa Rica, Ecuador, Panama, Peru and more!",http://t.co/XGHuetUX6q,enlogik
49,coUrbanize,"coUrbanize helps communities and real estate developers build better cities, together.",http://t.co/TixnMQDsko,coUrbanize
50,farmdrop,"The UK's first local food marketplace helping you buy great produce, at a great price, direct from local producers.",http://t.co/aDcQz9NF6q,farmdrop
51,PlantLink by Oso,Order PlantLink Today!,http://t.co/NBGyXChEdB,osotechnologies
52,RideScout,We aggregate ground #transportation options and allow you to search and compare instantly. RideScout is free on iOS & Android: http://t.co/QqQeAcOuML,http://t.co/qYdqLnX5FP,RideScout
53,kWh Analytics,Solar + Data Analytics,http://t.co/dYYSvjOXnY,kwhanalytics
